00_NS;sandbox-test;ServiceAccount;1;1;EQUAL
00_NS;trident;TridentNode;5;5;EQUAL
00_NS;trident;TridentVersion;1;1;EQUAL
00_NS;trident-volume-provisioner;ConfigMap;2;2;EQUAL
00_NS;trident-volume-provisioner;ControllerRevision;2;2;EQUAL
00_NS;trident-volume-provisioner;DaemonSet;1;1;EQUAL
00_NS;trident-volume-provisioner;Deployment;2;2;EQUAL
00_NS;trident-volume-provisioner;Endpoints;1;1;EQUAL
00_NS;trident-volume-provisioner;EndpointSlice;1;1;EQUAL
00_NS;trident-volume-provisioner;Pod;7;7;EQUAL
00_NS;trident-volume-provisioner;PodMetrics;7;7;EQUAL
00_NS;trident-volume-provisioner;Secret;6;6;EQUAL
00_NS;trident-volume-provisioner;Service;1;1;EQUAL
00_NS;trident-volume-provisioner;ServiceAccount;3;3;EQUAL
00_NS;trident-volume-provisioner;TridentNode;5;5;EQUAL
00_NS;trident-volume-provisioner;TridentVersion;1;1;EQUAL
01_GB;APIService;v1.acme.cert-manager.io;BOTH
01_GB;APIService;v1.admissionregistration.k8s.io;BOTH
01_GB;APIService;v1alpha1.addons.k8s.io;BOTH
01_GB;APIService;v1alpha1.addons.sigs.k8s.io;BOTH
01_GB;APIService;v1alpha1.agent.k8s.elastic.co;BOTH
01_GB;APIService;v1alpha1.anthos.gke.io;BOTH
01_GB;APIService;v1alpha1.authentication.istio.io;BOTH
01_GB;APIService;v1alpha1.autoscaling.internal.knative.dev;BOTH
01_GB;APIService;v1alpha1.caching.internal.knative.dev;BOTH
01_GB;APIService;v1alpha1.cluster.k8s.io;BOTH
01_GB;APIService;v1alpha1.clusterregistry.k8s.io;BOTH
01_GB;APIService;v1alpha1.domains.cloudrun.com;BOTH
01_GB;APIService;v1alpha1.install.istio.io;BOTH
01_GB;APIService;v1alpha1.metering.gke.io;BOTH
01_GB;APIService;v1alpha1.networking.internal.knative.dev;BOTH
01_GB;APIService;v1alpha1.operator.knative.dev;BOTH
01_GB;APIService;v1alpha1.rbac.istio.io;BOTH
01_GB;APIService;v1alpha1.serving.knative.dev;BOTH
01_GB;APIService;v1alpha1.tls.cloudrun.com;BOTH
01_GB;APIService;v1alpha1.vsphereproviderconfig.k8s.io;BOTH
01_GB;APIService;v1alpha2.acme.cert-manager.io;BOTH
01_GB;APIService;v1alpha2.cert-manager.io;BOTH
01_GB;APIService;v1alpha2.config.istio.io;BOTH
01_GB;APIService;v1alpha3.acme.cert-manager.io;BOTH
01_GB;APIService;v1alpha3.cert-manager.io;BOTH
